asset_id,object_type,geometry_family,mass_kg,estimated_particles,status,candidate_count,probe_attempt_count,probe_pass_count,best_com_lift_delta_z_m,best_aabb_min_z_m,elapsed_seconds,video
0001_stage3_100k_qwen2_v1_solid_053842,Chiffon Cake,solid,0.6633308345718362,3223,failed_grasp_ik_all,4,0,0,,,156.16934760846198,
0002_stage3_100k_qwen2_v1_solid_060156,Cupcake,solid,4.0,34218,failed_probe_all,4,3,0,0.0023974294442568045,0.05766855180263519,597.9986540023237,
0003_stage3_100k_qwen2_v1_solid_029603,Dinner Roll,solid,4.0,40682,failed_grasp_ik_all,4,0,0,,,100.04909543506801,
0004_stage3_100k_qwen2_v1_solid_080046,Egg Tart,solid,0.6391187441810642,3106,failed_grasp_ik_all,4,0,0,,,157.2558346670121,
0005_stage3_100k_qwen2_v1_solid_067443,Scone,solid,4.0,39527,failed_probe_all,4,2,0,-0.002331345650043226,0.05510774627327919,691.9301122687757,
0006_stage3_100k_qwen2_v1_solid_061625,Soft European Bread,solid,4.0,25179,failed_grasp_ik_all,4,0,0,,,92.98067635670304,
0007_stage3_100k_qwen2_v1_solid_018958,Blackberry,solid,2.0507554269071693,7034,failed_grasp_ik_all,4,0,0,,,190.34106219001114,
0008_stage3_100k_qwen2_v1_solid_009748,Durian Flesh,solid,3.783761219438242,12978,failed_probe_all,4,1,0,-0.0022464881687125487,0.05505761504173279,347.60915111750364,
0009_stage3_100k_qwen2_v1_solid_034002,Jujube,solid,4.0,33992,failed_probe_all,4,2,0,-0.008326029512260247,0.05361147224903107,299.7488415222615,
0010_stage3_100k_qwen2_v1_solid_065043,Kiwi,solid,0.45393248510040607,1557,failed_probe_all,4,1,0,-0.006441414310381963,0.056490182876586914,433.170365344733,
0011_stage3_100k_qwen2_v1_solid_087842,Mango,solid,4.0,18874,failed_probe_all,4,3,0,0.00945755263917189,0.05672410503029823,680.6891645472497,
0012_stage3_100k_qwen2_v1_solid_053458,Egg-crate Acoustic Foam,solid,0.7916360581534598,6033,failed_grasp_ik_all,4,0,0,,,133.4332626014948,
0013_stage3_100k_qwen2_v1_solid_099540,Foam Earplug,solid,0.09223269047321211,703,failed_grasp_ik_all,3,0,0,,,112.6340057887137,
0014_stage3_100k_qwen2_v1_solid_091790,Makeup Sponge,solid,1.5,22584,failed_probe_all,4,1,0,-0.016608894410452962,0.06142090633511543,149.79553416371346,
0015_stage3_100k_qwen2_v1_solid_001096,Melamine Foam Eraser,solid,0.08,422,failed_probe_all,4,1,0,-0.0050506654780271415,0.061013489961624146,318.53776815906167,
0016_stage3_100k_qwen2_v1_solid_073362,Microphone Foam Cover,solid,1.5,26001,failed_probe_all,4,2,0,0.007097063682665633,0.06148552522063255,365.46599319577217,
0017_stage3_100k_qwen2_v1_solid_023411,Sponge Paint Roller,solid,1.3336233413789838,10163,failed_probe_all,4,2,0,-0.0019496214662802769,0.061586178839206696,443.68277612142265,
0018_stage3_100k_qwen2_v1_solid_069490,Beanbag Toy,solid,4.0,26411,failed_probe_all,4,3,0,0.001439219755611565,0.06194145232439041,520.9960320852697,
0019_stage3_100k_qwen2_v1_solid_092292,Heat Therapy Gel Pack,solid,4.5,22676,failed_probe_all,4,1,0,-0.005447822967041174,0.05468309298157692,292.52840225212276,
0020_stage3_100k_qwen2_v1_solid_093750,Oxygen Mask Soft Seal,solid,1.3748020915987984,3159,failed_probe_all,4,1,0,-0.006883127225404143,0.0603058785200119,373.9800302516669,
0021_stage3_100k_qwen2_v1_solid_013734,Soft Tissue Training Block,solid,4.5,49388,failed_probe_all,4,2,0,0.006233125456159089,0.054567478597164154,475.05531181022525,
0022_stage3_100k_qwen2_v1_solid_031681,Stress Ball,solid,4.0,28707,failed_probe_all,4,3,0,-0.0023059388329071673,0.06154938414692879,737.4024830535054,
0023_stage3_100k_qwen2_v1_solid_087532,Plush Toy,solid,1.0491481235220002,7995,failed_probe_all,4,2,0,-0.018846924345527344,0.06182993948459625,560.6095626559108,
0024_stage3_100k_qwen2_v1_solid_025042,Protective Rubber Cover,solid,1.2567905408498454,2338,failed_grasp_ik_all,4,0,0,,,76.31950442865491,
0025_stage3_100k_qwen2_v1_solid_014381,Silicone Teether Toy,solid,1.39461516867185,2522,failed_probe_all,4,1,0,-0.006099270238040383,0.06094256415963173,306.4960664026439,
0026_stage3_100k_qwen2_v1_solid_001836,Butter,solid,4.0,22442,failed_probe_all,4,2,0,-9.922459204744771e-05,0.0592130683362484,445.55705790780485,
0027_stage3_100k_qwen2_v1_solid_077504,Gummy Candy,solid,3.739271987855573,15141,failed_probe_all,4,2,0,0.0028669622639382886,0.06054064258933067,412.5199146028608,
0028_stage3_100k_qwen2_v1_solid_051802,Mashed Potato,solid,1.6025937074686392,4450,failed_grasp_ik_all,4,0,0,,,225.86761673539877,
0029_stage3_100k_qwen2_v1_solid_072660,Mochi,solid,4.0,25003,failed_probe_all,4,1,0,-0.0030414397338588695,0.055961623787879944,320.5942608602345,
0030_stage3_100k_qwen2_v1_solid_092067,Rice Ball,solid,4.0,21160,failed_grasp_ik_all,4,0,0,,,74.8177929688245,
0061_stage3_100k_qwen2_v1_shell_030627,Baby Cushion,shell,1.3524770137506656,10307,failed_grasp_ik_all,4,0,0,,,86.15665761567652,
0062_stage3_100k_qwen2_v1_shell_069428,Beanbag Chair,shell,1.5,14930,failed_probe_all,4,3,0,0.0013388674074346074,0.06192559003829956,530.6652540992945,
0063_stage3_100k_qwen2_v1_shell_026265,Coccyx Cushion,shell,1.5,11783,failed_probe_all,4,2,0,0.0011141668790899395,0.06176407262682915,419.94316514767706,
0064_stage3_100k_qwen2_v1_shell_007352,Cushion Foam Core,shell,1.5,14821,failed_probe_all,4,2,0,0.0018043886595629777,0.06192526966333389,371.8791558146477,
0065_stage3_100k_qwen2_v1_shell_001533,Donut Cushion,shell,1.1044119172253741,8416,failed_grasp_ik_all,4,0,0,,,71.82264215685427,
0066_stage3_100k_qwen2_v1_shell_000079,Floor Cushion,shell,1.5,11847,failed_grasp_ik_all,4,0,0,,,62.684881107881665,
0067_stage3_100k_qwen2_v1_shell_098050,Flotation Cushion,shell,1.2352450334266605,9414,failed_probe_all,4,3,0,0.00043231614743678703,0.062282126396894455,493.1741772480309,
0068_stage3_100k_qwen2_v1_shell_020938,Heel Cushion,shell,0.9796713917774437,7466,failed_probe_all,4,2,0,0.001151457800014799,0.06203586980700493,405.6807890292257,
0069_stage3_100k_qwen2_v1_shell_019484,Knee Pillow,shell,1.5,17636,failed_probe_all,4,2,0,0.0007011853579135807,0.06175409257411957,373.66961646452546,
