asset_id,object_type,geometry_family,extent_x_m,extent_y_m,extent_z_m,minimum_extent_m,screen_status,final_status,reason,attempted,scale,video
0001_stage3_100k_qwen2_v1_solid_053842,Chiffon Cake,solid,0.3222120373560089,0.32315530652536417,0.11637666847950591,0.11637666847950591,skipped_size,skipped_size,minimum original-scale extent 0.116377 m exceeds 0.066000 m jaw opening,False,1.0,
0002_stage3_100k_qwen2_v1_solid_060156,Cupcake,solid,0.3235464893879915,0.3227211432349209,0.2452832576861203,0.2452832576861203,skipped_size,skipped_size,minimum original-scale extent 0.245283 m exceeds 0.066000 m jaw opening,False,1.0,
0003_stage3_100k_qwen2_v1_solid_029603,Dinner Roll,solid,0.2443787602099681,0.3237123105414449,0.2422118664223446,0.2422118664223446,skipped_size,skipped_size,minimum original-scale extent 0.242212 m exceeds 0.066000 m jaw opening,False,1.0,
0004_stage3_100k_qwen2_v1_solid_080046,Egg Tart,solid,0.3232761046231331,0.320491660758287,0.1314836577394317,0.1314836577394317,skipped_size,skipped_size,minimum original-scale extent 0.131484 m exceeds 0.066000 m jaw opening,False,1.0,
0005_stage3_100k_qwen2_v1_solid_067443,Scone,solid,0.3238032795237139,0.32288002508974556,0.20221459893730048,0.20221459893730048,skipped_size,skipped_size,minimum original-scale extent 0.202215 m exceeds 0.066000 m jaw opening,False,1.0,
0006_stage3_100k_qwen2_v1_solid_061625,Soft European Bread,solid,0.323474890972294,0.31604849343776553,0.1549713766322191,0.1549713766322191,skipped_size,skipped_size,minimum original-scale extent 0.154971 m exceeds 0.066000 m jaw opening,False,1.0,
0007_stage3_100k_qwen2_v1_solid_018958,Blackberry,solid,0.30953037213969736,0.324008635880046,0.30154392728570706,0.30154392728570706,skipped_size,skipped_size,minimum original-scale extent 0.301544 m exceeds 0.066000 m jaw opening,False,1.0,
0008_stage3_100k_qwen2_v1_solid_009748,Durian Flesh,solid,0.32311802404607237,0.21911618800776111,0.14316152387162528,0.14316152387162528,skipped_size,skipped_size,minimum original-scale extent 0.143162 m exceeds 0.066000 m jaw opening,False,1.0,
0009_stage3_100k_qwen2_v1_solid_034002,Jujube,solid,0.2610101305781401,0.3237898867267045,0.2540289780055334,0.2540289780055334,skipped_size,skipped_size,minimum original-scale extent 0.254029 m exceeds 0.066000 m jaw opening,False,1.0,
0010_stage3_100k_qwen2_v1_solid_065043,Kiwi,solid,0.1646603270899274,0.3229526369003132,0.152865666821243,0.152865666821243,skipped_size,skipped_size,minimum original-scale extent 0.152866 m exceeds 0.066000 m jaw opening,False,1.0,
0011_stage3_100k_qwen2_v1_solid_087842,Mango,solid,0.32318189591927615,0.1950739957700673,0.1905937945978213,0.1905937945978213,skipped_size,skipped_size,minimum original-scale extent 0.190594 m exceeds 0.066000 m jaw opening,False,1.0,
0012_stage3_100k_qwen2_v1_solid_053458,Egg-crate Acoustic Foam,solid,0.3219514935439182,0.277970627476861,0.0935152643610461,0.0935152643610461,skipped_size,skipped_size,minimum original-scale extent 0.093515 m exceeds 0.066000 m jaw opening,False,1.0,
0013_stage3_100k_qwen2_v1_solid_099540,Foam Earplug,solid,0.17433527145672328,0.3222793806230696,0.17198097886496672,0.17198097886496672,skipped_size,skipped_size,minimum original-scale extent 0.171981 m exceeds 0.066000 m jaw opening,False,1.0,
0014_stage3_100k_qwen2_v1_solid_091790,Makeup Sponge,solid,0.3232385356730057,0.3228517495684302,0.32054451010931473,0.32054451010931473,skipped_size,skipped_size,minimum original-scale extent 0.320545 m exceeds 0.066000 m jaw opening,False,1.0,
0015_stage3_100k_qwen2_v1_solid_001096,Melamine Foam Eraser,solid,0.1574933209868771,0.3216592046774564,0.1065332461824444,0.1065332461824444,skipped_size,skipped_size,minimum original-scale extent 0.106533 m exceeds 0.066000 m jaw opening,False,1.0,
0016_stage3_100k_qwen2_v1_solid_073362,Microphone Foam Cover,solid,0.3020115780110315,0.32298341455959945,0.29654115403013936,0.29654115403013936,skipped_size,skipped_size,minimum original-scale extent 0.296541 m exceeds 0.066000 m jaw opening,False,1.0,
0017_stage3_100k_qwen2_v1_solid_023411,Sponge Paint Roller,solid,0.2053229346197691,0.3224036043141052,0.1907388801485289,0.1907388801485289,skipped_size,skipped_size,minimum original-scale extent 0.190739 m exceeds 0.066000 m jaw opening,False,1.0,
0018_stage3_100k_qwen2_v1_solid_069490,Beanbag Toy,solid,0.3228354179904928,0.3222696387716007,0.247866444226656,0.247866444226656,skipped_size,skipped_size,minimum original-scale extent 0.247866 m exceeds 0.066000 m jaw opening,False,1.0,
0019_stage3_100k_qwen2_v1_solid_092292,Heat Therapy Gel Pack,solid,0.32335637303082443,0.3132433745610616,0.15166644475520608,0.15166644475520608,skipped_size,skipped_size,minimum original-scale extent 0.151666 m exceeds 0.066000 m jaw opening,False,1.0,
0020_stage3_100k_qwen2_v1_solid_093750,Oxygen Mask Soft Seal,solid,0.2648305026718797,0.3220559194800415,0.2149089076602064,0.2149089076602064,skipped_size,skipped_size,minimum original-scale extent 0.214909 m exceeds 0.066000 m jaw opening,False,1.0,
0021_stage3_100k_qwen2_v1_solid_013734,Soft Tissue Training Block,solid,0.3239797928929431,0.3239548616285113,0.2947362876854237,0.2947362876854237,skipped_size,skipped_size,minimum original-scale extent 0.294736 m exceeds 0.066000 m jaw opening,False,1.0,
0022_stage3_100k_qwen2_v1_solid_031681,Stress Ball,solid,0.32215242785945297,0.3226634853159772,0.2745607212759231,0.2745607212759231,skipped_size,skipped_size,minimum original-scale extent 0.274561 m exceeds 0.066000 m jaw opening,False,1.0,
0023_stage3_100k_qwen2_v1_solid_087532,Plush Toy,solid,0.2738127720213359,0.32256816575720515,0.2404835839826447,0.2404835839826447,skipped_size,skipped_size,minimum original-scale extent 0.240484 m exceeds 0.066000 m jaw opening,False,1.0,
0024_stage3_100k_qwen2_v1_solid_025042,Protective Rubber Cover,solid,0.22645563644696742,0.3221336949333976,0.2001818669934122,0.2001818669934122,skipped_size,skipped_size,minimum original-scale extent 0.200182 m exceeds 0.066000 m jaw opening,False,1.0,
0025_stage3_100k_qwen2_v1_solid_014381,Silicone Teether Toy,solid,0.3115890860455873,0.3239162803435535,0.3046441228153286,0.3046441228153286,skipped_size,skipped_size,minimum original-scale extent 0.304644 m exceeds 0.066000 m jaw opening,False,1.0,
0026_stage3_100k_qwen2_v1_solid_001836,Butter,solid,0.3235186887189677,0.2941044003251842,0.1580934117302355,0.1580934117302355,skipped_size,skipped_size,minimum original-scale extent 0.158093 m exceeds 0.066000 m jaw opening,False,1.0,
0027_stage3_100k_qwen2_v1_solid_077504,Gummy Candy,solid,0.20942566845867638,0.32320905848247317,0.1886054595693489,0.1886054595693489,skipped_size,skipped_size,minimum original-scale extent 0.188605 m exceeds 0.066000 m jaw opening,False,1.0,
0028_stage3_100k_qwen2_v1_solid_051802,Mashed Potato,solid,0.318675953997742,0.324023270152001,0.26445043055522677,0.26445043055522677,skipped_size,skipped_size,minimum original-scale extent 0.264450 m exceeds 0.066000 m jaw opening,False,1.0,
0029_stage3_100k_qwen2_v1_solid_072660,Mochi,solid,0.3231350476587963,0.32323670578645314,0.1514130688828582,0.1514130688828582,skipped_size,skipped_size,minimum original-scale extent 0.151413 m exceeds 0.066000 m jaw opening,False,1.0,
0030_stage3_100k_qwen2_v1_solid_092067,Rice Ball,solid,0.3235014658577181,0.2769559416081719,0.151314538083791,0.151314538083791,skipped_size,skipped_size,minimum original-scale extent 0.151315 m exceeds 0.066000 m jaw opening,False,1.0,
0061_stage3_100k_qwen2_v1_shell_030627,Baby Cushion,shell,0.3052064135578758,0.3225076002407655,0.1400539574481029,0.1400539574481029,skipped_size,skipped_size,minimum original-scale extent 0.140054 m exceeds 0.066000 m jaw opening,False,1.0,
0062_stage3_100k_qwen2_v1_shell_069428,Beanbag Chair,shell,0.3225251764968622,0.3135851897956805,0.2113196956736816,0.2113196956736816,skipped_size,skipped_size,minimum original-scale extent 0.211320 m exceeds 0.066000 m jaw opening,False,1.0,
0063_stage3_100k_qwen2_v1_shell_026265,Coccyx Cushion,shell,0.3019448474259945,0.3225397685513799,0.2202239537991943,0.2202239537991943,skipped_size,skipped_size,minimum original-scale extent 0.220224 m exceeds 0.066000 m jaw opening,False,1.0,
0064_stage3_100k_qwen2_v1_shell_007352,Cushion Foam Core,shell,0.32262950980953986,0.25950225772170643,0.16907055931232398,0.16907055931232398,skipped_size,skipped_size,minimum original-scale extent 0.169071 m exceeds 0.066000 m jaw opening,False,1.0,
0065_stage3_100k_qwen2_v1_shell_001533,Donut Cushion,shell,0.3059663914522387,0.3226804389352048,0.1128890488026619,0.1128890488026619,skipped_size,skipped_size,minimum original-scale extent 0.112889 m exceeds 0.066000 m jaw opening,False,1.0,
0066_stage3_100k_qwen2_v1_shell_000079,Floor Cushion,shell,0.3212714611201008,0.32280532219349456,0.1361775129154326,0.1361775129154326,skipped_size,skipped_size,minimum original-scale extent 0.136178 m exceeds 0.066000 m jaw opening,False,1.0,
0067_stage3_100k_qwen2_v1_shell_098050,Flotation Cushion,shell,0.2498722918721644,0.3221897904449502,0.1560284103473499,0.1560284103473499,skipped_size,skipped_size,minimum original-scale extent 0.156028 m exceeds 0.066000 m jaw opening,False,1.0,
0068_stage3_100k_qwen2_v1_shell_020938,Heel Cushion,shell,0.32238714261725,0.2331918912887363,0.1635652997408224,0.1635652997408224,skipped_size,skipped_size,minimum original-scale extent 0.163565 m exceeds 0.066000 m jaw opening,False,1.0,
0069_stage3_100k_qwen2_v1_shell_019484,Knee Pillow,shell,0.31335074061964374,0.3229181268039464,0.2519066889731397,0.2519066889731397,skipped_size,skipped_size,minimum original-scale extent 0.251907 m exceeds 0.066000 m jaw opening,False,1.0,
0070_stage3_100k_qwen2_v1_shell_041310,Latex Cushion,shell,0.3222226579961237,0.1918013930103069,0.089436046107121,0.089436046107121,skipped_size,skipped_size,minimum original-scale extent 0.089436 m exceeds 0.066000 m jaw opening,False,1.0,
0071_stage3_100k_qwen2_v1_shell_034525,Neck Pillow Foam Core,shell,0.3223064693812669,0.2853379194085058,0.1450648629501673,0.1450648629501673,skipped_size,skipped_size,minimum original-scale extent 0.145065 m exceeds 0.066000 m jaw opening,False,1.0,
0072_stage3_100k_qwen2_v1_shell_004945,Positioning Cushion,shell,0.22197737275716828,0.322399584637193,0.1721481119588694,0.1721481119588694,skipped_size,skipped_size,minimum original-scale extent 0.172148 m exceeds 0.066000 m jaw opening,False,1.0,
0073_stage3_100k_qwen2_v1_shell_071393,Silicone Cushion,shell,0.32299605427447253,0.18242894186220138,0.0817092276515856,0.0817092276515856,skipped_size,skipped_size,minimum original-scale extent 0.081709 m exceeds 0.066000 m jaw opening,False,1.0,
0074_stage3_100k_qwen2_v1_shell_016589,Sofa Armrest Padding,shell,0.32239361157340807,0.2154263129908319,0.1683032207459973,0.1683032207459973,skipped_size,skipped_size,minimum original-scale extent 0.168303 m exceeds 0.066000 m jaw opening,False,1.0,
0075_stage3_100k_qwen2_v1_shell_085460,Sofa Back Cushion,shell,0.32206312412521076,0.27564925338252233,0.1582373310158219,0.1582373310158219,skipped_size,skipped_size,minimum original-scale extent 0.158237 m exceeds 0.066000 m jaw opening,False,1.0,
0076_stage3_100k_qwen2_v1_shell_099119,Inflatable Animal Toy,shell,0.3230926696378971,0.2540447666138195,0.1690643300183727,0.1690643300183727,skipped_size,skipped_size,minimum original-scale extent 0.169064 m exceeds 0.066000 m jaw opening,False,1.0,
0077_stage3_100k_qwen2_v1_shell_038495,Inflatable Ball,shell,0.324210662503683,0.31589557197537144,0.3031823945981737,0.3031823945981737,skipped_size,skipped_size,minimum original-scale extent 0.303182 m exceeds 0.066000 m jaw opening,False,1.0,
0078_stage3_100k_qwen2_v1_shell_008911,Inflatable Bladder,shell,0.3236758838876788,0.3156475111564039,0.19282095536589672,0.19282095536589672,skipped_size,skipped_size,minimum original-scale extent 0.192821 m exceeds 0.066000 m jaw opening,False,1.0,
0079_stage3_100k_qwen2_v1_shell_025403,Inflatable Mattress,shell,0.1573266583957461,0.3223679197105435,0.053657782787559095,0.053657782787559095,eligible_geometry,eligible_geometry,at least one original mesh axis fits the 66 mm jaw opening,False,1.0,
0080_stage3_100k_qwen2_v1_shell_064712,Ankle Support Cushion,shell,0.3223023852511264,0.1950185258859285,0.14884453455409188,0.14884453455409188,skipped_size,skipped_size,minimum original-scale extent 0.148845 m exceeds 0.066000 m jaw opening,False,1.0,
0081_stage3_100k_qwen2_v1_shell_074903,Garden Kneeler Pad,shell,0.322168319455096,0.1761484202643703,0.1208729040796594,0.1208729040796594,skipped_size,skipped_size,minimum original-scale extent 0.120873 m exceeds 0.066000 m jaw opening,False,1.0,
0082_stage3_100k_qwen2_v1_shell_004094,Headphone Ear Pad Foam,shell,0.23547553372928792,0.3223956576943029,0.1657273108913275,0.1657273108913275,skipped_size,skipped_size,minimum original-scale extent 0.165727 m exceeds 0.066000 m jaw opening,False,1.0,
0083_stage3_100k_qwen2_v1_shell_016220,IV Injection Training Pad,shell,0.20272208409960768,0.3223157300826651,0.1279318256001937,0.1279318256001937,skipped_size,skipped_size,minimum original-scale extent 0.127932 m exceeds 0.066000 m jaw opening,False,1.0,
0084_stage3_100k_qwen2_v1_shell_052111,Knee Pad Foam Insert,shell,0.26516819264598257,0.3225907091368071,0.2107359756921392,0.2107359756921392,skipped_size,skipped_size,minimum original-scale extent 0.210736 m exceeds 0.066000 m jaw opening,False,1.0,
0085_stage3_100k_qwen2_v1_shell_010402,Knee Support Cushion,shell,0.2184439855152987,0.3221284196255777,0.167462206586973,0.167462206586973,skipped_size,skipped_size,minimum original-scale extent 0.167462 m exceeds 0.066000 m jaw opening,False,1.0,
0086_stage3_100k_qwen2_v1_shell_086069,Medical Support Strap,shell,0.30370016545333567,0.3249975142081588,0.16053052644671148,0.16053052644671148,skipped_size,skipped_size,minimum original-scale extent 0.160531 m exceeds 0.066000 m jaw opening,False,1.0,
0087_stage3_100k_qwen2_v1_shell_052121,Neoprene Pad,shell,0.3221755912096777,0.1803460515668352,0.0716764437738218,0.0716764437738218,skipped_size,skipped_size,minimum original-scale extent 0.071676 m exceeds 0.066000 m jaw opening,False,1.0,
0088_stage3_100k_qwen2_v1_shell_022052,Posture Support Cushion,shell,0.30986967704977275,0.3227617463803044,0.1548435964510468,0.1548435964510468,skipped_size,skipped_size,minimum original-scale extent 0.154844 m exceeds 0.066000 m jaw opening,False,1.0,
0089_stage3_100k_qwen2_v1_shell_058914,Seat Cushion Cover,shell,0.2904978784131839,0.32569072912336106,0.2217692490060021,0.2217692490060021,skipped_size,skipped_size,minimum original-scale extent 0.221769 m exceeds 0.066000 m jaw opening,False,1.0,
