sample_id,canonical_id,object_type,geometry_family,visual_archetype,material_family,profile,youngs_modulus,poisson_ratio,density,particle_size,grid_density,dt,substeps,drop_height,alpha_wrap_fraction,alpha_wrap_offset_fraction,rationale
stage3_100k_qwen2_v1_solid_053842,baked_soft_food__chiffon_cake,Chiffon Cake,solid,baked_soft_food,soft_food,soft_food,65000.0,0.36,600.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; predeformed_state; baked_food_crumb
stage3_100k_qwen2_v1_solid_060156,baked_soft_food__cupcake,Cupcake,solid,baked_soft_food,soft_food,soft_food,65000.0,0.36,600.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; baked_food_crumb
stage3_100k_qwen2_v1_solid_029603,baked_soft_food__dinner_roll,Dinner Roll,solid,baked_soft_food,soft_food,soft_food,65000.0,0.36,600.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; baked_food_crumb
stage3_100k_qwen2_v1_solid_080046,baked_soft_food__egg_tart,Egg Tart,solid,baked_soft_food,soft_food,soft_food,65000.0,0.36,600.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; baked_food_crumb
stage3_100k_qwen2_v1_solid_067443,baked_soft_food__scone,Scone,solid,baked_soft_food,soft_food,soft_food,65000.0,0.36,600.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; baked_food_crumb
stage3_100k_qwen2_v1_solid_061625,baked_soft_food__soft_european_bread,Soft European Bread,solid,baked_soft_food,soft_food,soft_food,65000.0,0.36,600.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; predeformed_state; baked_food_crumb
stage3_100k_qwen2_v1_solid_018958,compressible_fruit__blackberry,Blackberry,solid,compressible_fruit,soft_food,soft_food,70000.0,0.4,850.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; compressible_fruit_flesh
stage3_100k_qwen2_v1_solid_009748,compressible_fruit__durian_flesh,Durian Flesh,solid,compressible_fruit,soft_food,soft_food,70000.0,0.4,850.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; compressible_fruit_flesh
stage3_100k_qwen2_v1_solid_034002,compressible_fruit__jujube,Jujube,solid,compressible_fruit,soft_food,soft_food,70000.0,0.4,850.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; compressible_fruit_flesh
stage3_100k_qwen2_v1_solid_065043,compressible_fruit__kiwi,Kiwi,solid,compressible_fruit,soft_food,soft_food,70000.0,0.4,850.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; compressible_fruit_flesh
stage3_100k_qwen2_v1_solid_087842,compressible_fruit__mango,Mango,solid,compressible_fruit,soft_food,soft_food,70000.0,0.4,850.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:soft_food; geometry:solid; compressible_fruit_flesh
stage3_100k_qwen2_v1_solid_053458,foam_solid__egg_crate_acoustic_foam,Egg-crate Acoustic Foam,solid,foam_solid,foam,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:solid
stage3_100k_qwen2_v1_solid_099540,foam_solid__foam_earplug,Foam Earplug,solid,foam_solid,foam,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:solid
stage3_100k_qwen2_v1_solid_091790,foam_solid__makeup_sponge,Makeup Sponge,solid,foam_solid,foam,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:solid
stage3_100k_qwen2_v1_solid_001096,foam_solid__melamine_foam_eraser,Melamine Foam Eraser,solid,foam_solid,foam,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:solid
